year,ine_code,name,province_id,autonomous_region_id,population,debt,budget_line_amount,budget_line_amount_per_inhabitant,total_budget,total_budget_per_inhabitant
2015,42012,Aldealseñor,42,7,41,0.0,500.0,12.2,74500.0,1817.08
2015,47007,Aldeamayor de San Martín,47,7,4968,0.0,,,3573374.0,719.28
2015,45009,Aldeanueva de Barbarroya,45,8,612,0.0,,,700000.0,1143.78
2015,26008,Aldeanueva de Ebro,26,17,2779,1974000.0,227000.0,81.68,2976692.9,1071.13
2015,37017,Aldeanueva de Figueroa,37,7,291,0.0,,,197310.0,678.03
2015,19015,Aldeanueva de Guadalajara,19,8,79,0.0,,,141820.0,1795.19
2015,40009,Aldeanueva de la Serrezuela,40,7,55,0.0,,,151300.0,2750.91
2015,37018,Aldeanueva de la Sierra,37,7,108,0.0,,,122150.0,1131.02
2015,10014,Aldeanueva de la Vera,10,11,2155,0.0,,,1888180.0,876.18
2015,45010,Aldeanueva de San Bartolomé,45,8,475,88000.0,1500.0,3.16,487500.0,1026.32
2015,5007,Aldeanueva de Santa Cruz,5,7,123,0.0,,,94855.0,771.18
2015,10015,Aldeanueva del Camino,10,11,791,0.0,,,505000.0,638.43
2015,40010,Aldeanueva del Codonal,40,7,134,20000.0,,,0.0,0.0
2015,23004,Aldeaquemada,23,1,531,443000.0,29069.61,54.75,724597.18,1364.59
2015,37019,Aldearrodrigo,37,7,155,34000.0,7700.0,49.68,102455.0,661.0
2015,37020,Aldearrubia,37,7,489,67000.0,46433.74,94.96,373183.04,763.17
2015,5008,Aldeaseca,5,7,262,0.0,5375.45,20.52,232757.0,888.39
2015,37021,Aldeaseca de Alba,37,7,86,0.0,,,55332.0,643.4
2015,37022,Aldeaseca de la Frontera,37,7,295,0.0,,,0.0,0.0
2015,40013,Aldeasoña,40,7,61,0.0,1850.0,30.33,99960.0,1638.68
